,precision,recall,f1-score,support,run_name,checkpoint
keqing_(genshin_impact),0.8461538461538461,0.9166666666666666,0.88,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
kirito,0.6470588235294118,0.9166666666666666,0.7586206896551724,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
kiryu_coco,0.6923076923076923,0.75,0.72,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
kizuna_ai,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
kochou_shinobu,1.0,0.5833333333333334,0.7368421052631579,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
komi_shouko,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
laffey_(azur_lane),0.7142857142857143,0.8333333333333334,0.7692307692307693,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
lancer,0.8181818181818182,0.75,0.782608695652174,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
makise_kurisu,0.75,0.75,0.75,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
mash_kyrielight,0.5625,0.75,0.6428571428571429,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
matou_sakura,0.38461538461538464,0.4166666666666667,0.4,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
megumin,0.5882352941176471,0.8333333333333334,0.6896551724137931,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
mei_(pokemon),0.7692307692307693,0.8333333333333334,0.8,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
meltlilith,0.4666666666666667,0.5833333333333334,0.5185185185185185,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
minato_aqua,0.8,1.0,0.8888888888888888,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
misaka_mikoto,0.5555555555555556,0.4166666666666667,0.47619047619047616,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
miyazono_kawori,0.75,0.75,0.75,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
mori_calliope,0.6875,0.9166666666666666,0.7857142857142857,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
nagato_yuki,0.6363636363636364,0.5833333333333334,0.6086956521739131,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
nakano_azusa,0.7777777777777778,0.5833333333333334,0.6666666666666666,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
