,precision,recall,f1-score,support,run_name,checkpoint
rem_rezero,0.7272727272727273,0.6666666666666666,0.6956521739130435,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
rias_gremory,0.8461538461538461,0.9166666666666666,0.88,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
rider,0.7272727272727273,0.6666666666666666,0.6956521739130435,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
ryougi_shiki,0.5714285714285714,0.3333333333333333,0.42105263157894735,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
sakura_futaba,0.6666666666666666,0.6666666666666666,0.6666666666666666,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
sakurajima_mai,0.42857142857142855,0.5,0.46153846153846156,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
sakurauchi_riko,0.9230769230769231,1.0,0.96,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
satonaka_chie,0.5333333333333333,0.6666666666666666,0.5925925925925926,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
semiramis_(fate),0.47368421052631576,0.75,0.5806451612903226,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
sengoku_nadeko,0.5714285714285714,0.3333333333333333,0.42105263157894735,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
senjougahara_hitagi,0.7142857142857143,0.4166666666666667,0.5263157894736842,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
shidare_hotaru,0.5,0.5833333333333334,0.5384615384615384,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
shinomiya_kaguya,0.75,0.75,0.75,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
shirakami_fubuki,0.6363636363636364,0.5833333333333334,0.6086956521739131,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
shirogane_naoto,0.625,0.4166666666666667,0.5,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
shirogane_noel,0.8571428571428571,0.5,0.631578947368421,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
shishiro_botan,0.45,0.75,0.5625,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
shuten_douji_(fate),0.5263157894736842,0.8333333333333334,0.6451612903225806,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
sinon,0.5625,0.75,0.6428571428571429,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
souryuu_asuka_langley,0.3,0.25,0.2727272727272727,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
st_ar-15_(girls_frontline),0.625,0.4166666666666667,0.5,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
super_sonico,0.5555555555555556,0.4166666666666667,0.47619047619047616,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
suzuhara_lulu,0.5454545454545454,0.5,0.5217391304347826,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
suzumiya_haruhi,0.4166666666666667,0.4166666666666667,0.4166666666666667,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
taihou_(azur_lane),0.7142857142857143,0.4166666666666667,0.5263157894736842,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
takagi-san,0.8,0.6666666666666666,0.7272727272727273,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
takamaki_anne,0.5789473684210527,0.9166666666666666,0.7096774193548387,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
takanashi_rikka,0.6363636363636364,0.5833333333333334,0.6086956521739131,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
takao_(azur_lane),0.29411764705882354,0.4166666666666667,0.3448275862068966,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
takarada_rikka,0.5,0.5,0.5,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
takimoto_hifumi,0.6875,0.9166666666666666,0.7857142857142857,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
tokoyami_towa,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
